{'task_description': 1, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.23497596678823954
{'task_description': 4, 'doc_description': 3, 'answer_description': 3, 'example_description': 1}, 0.2267680768187296
{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.22344439383666237
{'task_description': 1, 'doc_description': 0, 'answer_description': 2, 'example_description': 1}, 0.22164460217504844
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.2207357138864692
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 1}, 0.2191171343181401
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 0}, 0.21877979361905175
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.21840915089629234
{'task_description': 1, 'doc_description': 1, 'answer_description': 2, 'example_description': 0}, 0.21776805099497815
{'task_description': 0, 'doc_description': 0, 'answer_description': 3, 'example_description': 1}, 0.21561182951610786
{'task_description': 4, 'doc_description': 0, 'answer_description': 1, 'example_description': 1}, 0.21529406481321656
{'task_description': 5, 'doc_description': 0, 'answer_description': 2, 'example_description': 1}, 0.20639314732168285
{'task_description': 0, 'doc_description': 0, 'answer_description': 5, 'example_description': 0}, 0.20158941911136324
{'task_description': 1, 'doc_description': 0, 'answer_description': 3, 'example_description': 0}, 0.1995254080657472
{'task_description': 3, 'doc_description': 1, 'answer_description': 5, 'example_description': 2}, 0.19607247923290522
{'task_description': 3, 'doc_description': 3, 'answer_description': 4, 'example_description': 2}, 0.19590597967913564
{'task_description': 1, 'doc_description': 3, 'answer_description': 4, 'example_description': 1}, 0.19584956293259753
{'task_description': 1, 'doc_description': 0, 'answer_description': 2, 'example_description': 2}, 0.19449981624091717
{'task_description': 0, 'doc_description': 1, 'answer_description': 5, 'example_description': 2}, 0.19224881092617357
{'task_description': 3, 'doc_description': 3, 'answer_description': 2, 'example_description': 2}, 0.1919797461665902
{'task_description': 5, 'doc_description': 2, 'answer_description': 5, 'example_description': 0}, 0.18883103197297912
{'task_description': 4, 'doc_description': 2, 'answer_description': 2, 'example_description': 1}, 0.18127056012164494
{'task_description': 5, 'doc_description': 2, 'answer_description': 2, 'example_description': 1}, 0.1776167163728548
{'task_description': 1, 'doc_description': 2, 'answer_description': 2, 'example_description': 1}, 0.1681564572900785
{'task_description': 1, 'doc_description': 2, 'answer_description': 3, 'example_description': 0}, 0.16107612424724882
