{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16127978889351213
{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.12850709667623264
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.11634422068569635
{'task_description': 3, 'doc_description': 3, 'answer_description': 3}, 0.14940611554732758
{'task_description': 4, 'doc_description': 4, 'answer_description': 4}, 0.12021746412333235
{'task_description': 4, 'doc_description': 1, 'answer_description': 2}, 0.11492625752821971
{'task_description': 4, 'doc_description': 4, 'answer_description': 4}, 0.11994295023982297
{'task_description': 2, 'doc_description': 2, 'answer_description': 1}, 0.12534657833987964
{'task_description': 1, 'doc_description': 1, 'answer_description': 4}, 0.15308244048195221
{'task_description': 3, 'doc_description': 0, 'answer_description': 4}, 0.1434015184805418
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16341245555956638
{'task_description': 0, 'doc_description': 0, 'answer_description': 2}, 0.12600604858869657
{'task_description': 3, 'doc_description': 2, 'answer_description': 3}, 0.14469826354193413
{'task_description': 1, 'doc_description': 1, 'answer_description': 4}, 0.15225264862263038
{'task_description': 3, 'doc_description': 2, 'answer_description': 2}, 0.12267195630160381
{'task_description': 4, 'doc_description': 0, 'answer_description': 1}, 0.10989521903799966
{'task_description': 4, 'doc_description': 3, 'answer_description': 4}, 0.12868315593444132
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.15038827375877514
{'task_description': 3, 'doc_description': 3, 'answer_description': 4}, 0.16133308756145062
{'task_description': 1, 'doc_description': 4, 'answer_description': 1}, 0.12628536226534462
{'task_description': 3, 'doc_description': 4, 'answer_description': 1}, 0.11901067944712933
{'task_description': 0, 'doc_description': 1, 'answer_description': 4}, 0.15111109418188245
{'task_description': 3, 'doc_description': 1, 'answer_description': 3}, 0.17047554168204385
{'task_description': 0, 'doc_description': 1, 'answer_description': 3}, 0.13019535062875087
{'task_description': 3, 'doc_description': 1, 'answer_description': 4}, 0.14725334521535613
