{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22898868920334964
{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.1896792353162285
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.19945970957026168
{'task_description': 3, 'doc_description': 3, 'answer_description': 3}, 0.1416328741926658
{'task_description': 4, 'doc_description': 4, 'answer_description': 4}, 0.1538747682288317
{'task_description': 0, 'doc_description': 0, 'answer_description': 4}, 0.1603691081158028
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.22373009461461138
{'task_description': 4, 'doc_description': 0, 'answer_description': 2}, 0.20683418465098316
{'task_description': 3, 'doc_description': 0, 'answer_description': 3}, 0.15050449241471858
{'task_description': 3, 'doc_description': 4, 'answer_description': 4}, 0.15540184576885419
{'task_description': 2, 'doc_description': 3, 'answer_description': 4}, 0.1438907272322158
{'task_description': 0, 'doc_description': 2, 'answer_description': 2}, 0.19035489356560703
{'task_description': 3, 'doc_description': 1, 'answer_description': 3}, 0.1402169990821755
{'task_description': 1, 'doc_description': 0, 'answer_description': 4}, 0.15305501782024455
{'task_description': 4, 'doc_description': 0, 'answer_description': 4}, 0.14579011760097949
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.18343950322773028
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.18230862381394203
{'task_description': 2, 'doc_description': 0, 'answer_description': 4}, 0.15521558230921778
{'task_description': 3, 'doc_description': 3, 'answer_description': 0}, 0.2016522655075347
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.2177138540078511
{'task_description': 4, 'doc_description': 2, 'answer_description': 2}, 0.1858061610886486
{'task_description': 3, 'doc_description': 0, 'answer_description': 1}, 0.18396069402606827
{'task_description': 3, 'doc_description': 0, 'answer_description': 2}, 0.21025879561601435
{'task_description': 4, 'doc_description': 0, 'answer_description': 3}, 0.14372932185183862
{'task_description': 1, 'doc_description': 4, 'answer_description': 2}, 0.20192637446305528
