{'task_description': 1, 'doc_description': 1, 'answer_description': 1}, 0.17047554168204385
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16341245555956638
{'task_description': 1, 'doc_description': 2, 'answer_description': 2}, 0.16133308756145062
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.16127978889351213
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.1572729800933832
{'task_description': 4, 'doc_description': 0, 'answer_description': 4}, 0.14566141064858304
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.14501666171290914
{'task_description': 3, 'doc_description': 0, 'answer_description': 0}, 0.1431692179385711
{'task_description': 3, 'doc_description': 0, 'answer_description': 4}, 0.14178520892009366
{'task_description': 3, 'doc_description': 0, 'answer_description': 3}, 0.1401522460231561
{'task_description': 4, 'doc_description': 0, 'answer_description': 0}, 0.13912016704849306
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.1389000445846276
{'task_description': 2, 'doc_description': 3, 'answer_description': 0}, 0.1380199368213594
{'task_description': 4, 'doc_description': 0, 'answer_description': 0}, 0.1379592085607806
{'task_description': 2, 'doc_description': 0, 'answer_description': 3}, 0.13769652414656522
{'task_description': 2, 'doc_description': 3, 'answer_description': 0}, 0.13654755166820554
{'task_description': 3, 'doc_description': 4, 'answer_description': 4}, 0.1364717102898019
{'task_description': 1, 'doc_description': 5, 'answer_description': 5}, 0.13446773846189863
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.13349419869408538
{'task_description': 1, 'doc_description': 0, 'answer_description': 3}, 0.13145427239442567
{'task_description': 3, 'doc_description': 5, 'answer_description': 4}, 0.1303334541550677
{'task_description': 0, 'doc_description': 3, 'answer_description': 4}, 0.12753374229470416
{'task_description': 2, 'doc_description': 4, 'answer_description': 4}, 0.1248595634318435
{'task_description': 0, 'doc_description': 4, 'answer_description': 5}, 0.12004202763765526
{'task_description': 0, 'doc_description': 4, 'answer_description': 5}, 0.11963307548388184
